"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","WAB_20min_10mon","WAB_30min_10mon","Redspider_harvest1_5","carotenoidtotal","betacarotenoid_nirs","branch_number","DM_gravity","DM_nirs","DM_raw","height_1st_branch","yield_ha","shoot_weight_plot","root_weight_plot","frogskin1_5","HCN_linamarase_10mon","vigor1_5","lodging1_3","lodging1_3_6mon","root_number_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","mites_3mon","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_number","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","cook_time_10mon","carotenoid1_8","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha"
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BOL1_213",1,213,11,3,"test"," (Operator: lizbethpino, Time: )","BOL1","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,10.6,4,0.22,0.11,NA,NA,39.6,NA,NA,NA,NA,NA,1,202.45,3,1,NA,NA,NA,5,3,NA,NA,2,NA,3,NA,4,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BOL2_425",1,425,21,5,"test"," (Operator: lizbethpino, Time: )","BOL2","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,12.73,3,1.19,0.75,NA,NA,34.6,NA,NA,NA,NA,NA,4,64.89,2,1,NA,NA,NA,5,5,NA,NA,2,NA,1,NA,4,NA,NA,NA,NA,NA,5,NA,NA,3,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BOL3_282",1,282,14,13,"test"," (Operator: lizbethpino, Time: )","BOL3","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,3,1,NA,NA,NA,5,4,NA,NA,2,NA,3,NA,5,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA1000_134",1,134,7,8,"test"," (Operator: lizbethpino, Time: )","BRA1000","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,-3.9,3,0.26,0.26,NA,NA,31.93,NA,NA,NA,NA,NA,1,139.21,1,1,NA,NA,NA,5,5,NA,NA,2,NA,3,NA,5,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA1001_52",1,52,3,10,"test"," (Operator: lizbethpino, Time: )","BRA1001","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,5.71,2,0.9,0.33,NA,NA,41.74,NA,NA,NA,NA,NA,1,31.85,3,1,NA,NA,NA,5,4,NA,NA,2,NA,3,NA,4,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA1003_241",1,241,12,12,"test"," (Operator: lizbethpino, Time: )","BRA1003","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,9.96,1,8,4.88,NA,NA,41.84,NA,NA,NA,NA,NA,1,37.57,3,1,NA,NA,NA,5,4,NA,NA,2,NA,1,NA,2,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA1016_201",1,201,10,10,"test"," (Operator: lizbethpino, Time: )","BRA1016","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,10.95,1,1.23,0.96,NA,NA,44.64,NA,NA,NA,NA,NA,1,60.96,3,2,NA,NA,NA,5,4,NA,NA,2,NA,3,NA,3,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA1022_34",1,34,2,9,"test"," (Operator: lizbethpino, Time: )","BRA1022","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,15.14,3,0.82,0.39,NA,NA,38.05,NA,NA,NA,NA,NA,1,204.52,3,1,NA,NA,NA,5,5,NA,NA,2,NA,2,NA,3,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA1031_2",1,2,1,2,"test"," (Operator: lizbethpino, Time: )","BRA1031","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,6.34,3,3.49,1.61,NA,NA,39.72,NA,NA,NA,NA,NA,1,223.29,3,1,NA,NA,NA,5,4,NA,NA,2,NA,2,NA,4,NA,NA,NA,NA,NA,5,NA,NA,1,NA,NA,2,100,NA,NA
2024,"202405DVGN6_ciat","202405DVGN6_ciat viene del 202305DVGN",1.2,4,"2024-March-05","2025-January-17","CIAT. Valle, Colombia",NA,"202405DVGN6_ciat_rep1_BRA1032_447",1,447,22,16,"test"," (Operator: lizbethpino, Time: )","BRA1032","test",3.483333333,-76.36666667,965,"Valle","Colombia","Mid-altitude torpics","ciat",NA,6.83,3,0.15,0.15,NA,NA,36.54,NA,NA,NA,NA,NA,4,96.82,3,2,NA,NA,NA,5,5,NA,NA,1,NA,3,NA,2,NA,NA,NA,NA,NA,4,NA,NA,3,NA,NA,2,80,NA,NA
